source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[instrument]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[olink lot number]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000002-f01-r00001-O5-13	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	not available	experimental sample	blood plasma	PAD000002-f01-r00001-O5-13	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00002-O5-21	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	not available	experimental sample	blood plasma	PAD000002-f01-r00002-O5-21	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00003-O5-10	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	not available	experimental sample	blood plasma	PAD000002-f01-r00003-O5-10	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00004-O5-14	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	4	not available	experimental sample	blood plasma	PAD000002-f01-r00004-O5-14	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00005-O5-40	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	5	not available	experimental sample	blood plasma	PAD000002-f01-r00005-O5-40	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00006-NEG_CTRL_14	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	6	not available	negative control sample	blood plasma	PAD000002-f01-r00006-NEG_CTRL_14	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00007-O5-32	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	7	not available	experimental sample	blood plasma	PAD000002-f01-r00007-O5-32	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00008-O5-27	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	8	not available	experimental sample	blood plasma	PAD000002-f01-r00008-O5-27	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00009-O5-11	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	9	not available	experimental sample	blood plasma	PAD000002-f01-r00009-O5-11	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000002-f01-r00010-O5-38	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	10	not available	experimental sample	blood plasma	PAD000002-f01-r00010-O5-38	protein expression profiling by antibody array	1	P2024-198-OLI_HT_93_2024-10-10_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PAD000002/P2024-198-OLI_HT_93_2024-10-10_npx.parquet	Olink Explore HT	not available	Olink Explore HT	not available	NPX	P2024-198-OLI_LB_Explore HT_Plate layout_RUN1_Plate2	Plate control	1	Olink Explore HT	Olink Explore HT	plate control normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
