source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000009-f02-r00068-L17_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	68	experimental sample	blood plasma	PAD000009-f02-r00068-L17_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00069-L25_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	69	experimental sample	blood plasma	PAD000009-f02-r00069-L25_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00070-L33_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	70	experimental sample	blood plasma	PAD000009-f02-r00070-L33_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00071-PC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	71	control sample	blood plasma	PAD000009-f02-r00071-PC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00072-L18_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	72	experimental sample	blood plasma	PAD000009-f02-r00072-L18_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00073-L26_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	73	experimental sample	blood plasma	PAD000009-f02-r00073-L26_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00074-L34_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	74	experimental sample	blood plasma	PAD000009-f02-r00074-L34_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00075-PC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	75	control sample	blood plasma	PAD000009-f02-r00075-PC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00076-L19_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	76	experimental sample	blood plasma	PAD000009-f02-r00076-L19_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00077-L27_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	77	experimental sample	blood plasma	PAD000009-f02-r00077-L27_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00078-L35_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	78	experimental sample	blood plasma	PAD000009-f02-r00078-L35_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00079-PC-2-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	79	control sample	blood plasma	PAD000009-f02-r00079-PC-2-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00080-L20_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	80	experimental sample	blood plasma	PAD000009-f02-r00080-L20_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00081-L28_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	81	experimental sample	blood plasma	PAD000009-f02-r00081-L28_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00082-NC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	82	negative control sample	blood plasma	PAD000009-f02-r00082-NC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00083-PC-2-4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	83	control sample	blood plasma	PAD000009-f02-r00083-PC-2-4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00084-L13_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	84	experimental sample	blood plasma	PAD000009-f02-r00084-L13_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00085-L21_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	85	experimental sample	blood plasma	PAD000009-f02-r00085-L21_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00086-L29_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	86	experimental sample	blood plasma	PAD000009-f02-r00086-L29_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00087-NC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	87	negative control sample	blood plasma	PAD000009-f02-r00087-NC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00088-PC-2-5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	88	control sample	blood plasma	PAD000009-f02-r00088-PC-2-5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00089-L07_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	89	experimental sample	blood plasma	PAD000009-f02-r00089-L07_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00090-SC-1-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	90	control sample	blood plasma	PAD000009-f02-r00090-SC-1-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00091-L08_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	91	experimental sample	blood plasma	PAD000009-f02-r00091-L08_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00092-SC-1-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	92	control sample	blood plasma	PAD000009-f02-r00092-SC-1-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00093-L01_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	93	experimental sample	blood plasma	PAD000009-f02-r00093-L01_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00094-L09_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	94	experimental sample	blood plasma	PAD000009-f02-r00094-L09_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00095-SC-1-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	95	control sample	blood plasma	PAD000009-f02-r00095-SC-1-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00096-L02_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	96	experimental sample	blood plasma	PAD000009-f02-r00096-L02_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00097-L10_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	97	experimental sample	blood plasma	PAD000009-f02-r00097-L10_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00098-PC-1-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	98	control sample	blood plasma	PAD000009-f02-r00098-PC-1-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00099-L03_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	99	experimental sample	blood plasma	PAD000009-f02-r00099-L03_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00100-L11_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	100	experimental sample	blood plasma	PAD000009-f02-r00100-L11_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00101-PC-1-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	101	control sample	blood plasma	PAD000009-f02-r00101-PC-1-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00102-L04_NIST_N7	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	102	experimental sample	blood plasma	PAD000009-f02-r00102-L04_NIST_N7	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00103-L12__NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	103	experimental sample	blood plasma	PAD000009-f02-r00103-L12__NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00104-PC-1-3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	104	control sample	blood plasma	PAD000009-f02-r00104-PC-1-3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00105-L05_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	105	experimental sample	blood plasma	PAD000009-f02-r00105-L05_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00106-NC-1-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	106	negative control sample	blood plasma	PAD000009-f02-r00106-NC-1-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00107-PC-1-4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	107	control sample	blood plasma	PAD000009-f02-r00107-PC-1-4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-f02-r00108-L06_NIST_N5	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	108	experimental sample	blood plasma	PAD000009-f02-r00108-L06_NIST_N5	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	NPX	Samplemanifest_Plate1_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
