source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[olink lot number]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000022-f01-r00035-231139248	Homo sapiens	Blood plasma	not available	not available	not available	35	experimental sample	blood plasma	PAD000022-f01-r00035-231139248	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00036-231142801	Homo sapiens	Blood plasma	not available	not available	not available	36	experimental sample	blood plasma	PAD000022-f01-r00036-231142801	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00037-227980531	Homo sapiens	Blood plasma	not available	not available	not available	37	experimental sample	blood plasma	PAD000022-f01-r00037-227980531	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00038-227980761	Homo sapiens	Blood plasma	not available	not available	not available	38	experimental sample	blood plasma	PAD000022-f01-r00038-227980761	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00039-231140828	Homo sapiens	Blood plasma	not available	not available	not available	39	experimental sample	blood plasma	PAD000022-f01-r00039-231140828	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00040-231148284	Homo sapiens	Blood plasma	not available	not available	not available	40	experimental sample	blood plasma	PAD000022-f01-r00040-231148284	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00041-231148261	Homo sapiens	Blood plasma	not available	not available	not available	41	experimental sample	blood plasma	PAD000022-f01-r00041-231148261	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00042-231148950	Homo sapiens	Blood plasma	not available	not available	not available	42	experimental sample	blood plasma	PAD000022-f01-r00042-231148950	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00043-229867540	Homo sapiens	Blood plasma	not available	not available	not available	43	experimental sample	blood plasma	PAD000022-f01-r00043-229867540	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00044-229866725	Homo sapiens	Blood plasma	not available	not available	not available	44	experimental sample	blood plasma	PAD000022-f01-r00044-229866725	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000022-f01-r00045-231140552	Homo sapiens	Blood plasma	not available	not available	not available	45	experimental sample	blood plasma	PAD000022-f01-r00045-231140552	protein expression profiling by antibody array	1	Olink3K_Data_npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/11/PAD000022/Olink3K_Data_npx.csv	Olink Target 96	NPX	Q-00092_SS210552	Plate control	Cardiometabolic; Cardiometabolic_II; Inflammation; Inflammation_II; Neurology; Neurology_II; Oncology; Oncology_II	Olink Target 96	plate control normalized	B04413	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
