source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000026-SO-11	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	11	not applicable	blood serum	PAD000026-r00011-SO-11	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-12	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	12	not applicable	blood serum	PAD000026-r00012-SO-12	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-13	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	13	not applicable	blood serum	PAD000026-r00013-SO-13	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-14	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	14	not applicable	blood serum	PAD000026-r00014-SO-14	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-200174	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	not available	15	quality control sample	blood serum	PAD000026-r00015-200174	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-16	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	16	not applicable	blood serum	PAD000026-r00016-SO-16	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-17	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	17	not applicable	blood serum	PAD000026-r00017-SO-17	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-18	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	18	not applicable	blood serum	PAD000026-r00018-SO-18	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-19	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	19	not applicable	blood serum	PAD000026-r00019-SO-19	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-20	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	20	not applicable	blood serum	PAD000026-r00020-SO-20	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-200173	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	not available	3	calibrator	blood serum	PAD000026-r00021-200173	protein expression profiling by aptamer array	2	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-22	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	21	not applicable	blood serum	PAD000026-r00022-SO-22	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-23	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	22	not applicable	blood serum	PAD000026-r00023-SO-23	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-24	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	23	not applicable	blood serum	PAD000026-r00024-SO-24	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-25	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	24	not applicable	blood serum	PAD000026-r00025-SO-25	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-200289	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	not available	25	not applicable	blood serum	PAD000026-r00026-200289	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-27	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	26	not applicable	blood serum	PAD000026-r00027-SO-27	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-28	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	27	not applicable	blood serum	PAD000026-r00028-SO-28	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-29	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	28	not applicable	blood serum	PAD000026-r00029-SO-29	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000026-SO-30	Homo sapiens	Blood serum	Chronic fatigue syndrome	not available	not available	CLI9010F002	29	not applicable	blood serum	PAD000026-r00030-SO-30	protein expression profiling by aptamer array	1	SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/01/PAD000026/SS-205087.v4.1.Serum.hybNorm.medNormInt.plateScale.calibrate.anmlQC.qcCheck.anmlSMP.adat	SomaScan Assay	v4.1	RFU	P0028582	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, anmlSMP	SomaScan 7K	SomaScan Assay v4.1	20%	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
