source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000009-L14_NIST_N4	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	1	not applicable	blood plasma	PAD000009-r00001-L14_NIST_N4	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L22_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	2	not applicable	blood plasma	PAD000009-r00002-L22_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L30_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	3	not applicable	blood plasma	PAD000009-r00003-L30_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-2-1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	4	quality control sample	blood plasma	PAD000009-r00004-SC-2-1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L15_NIST_N3	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	5	not applicable	blood plasma	PAD000009-r00005-L15_NIST_N3	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L23_NIST_N6	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	6	not applicable	blood plasma	PAD000009-r00006-L23_NIST_N6	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L31_NIST_N2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	7	not applicable	blood plasma	PAD000009-r00007-L31_NIST_N2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-SC-2-2	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	8	quality control sample	blood plasma	PAD000009-r00008-SC-2-2	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L16_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	9	not applicable	blood plasma	PAD000009-r00009-L16_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000009-L24_NIST_N1	Homo sapiens	Blood cell; Blood plasma	not available	not available	not available	not available	not available	10	not applicable	blood plasma	PAD000009-r00010-L24_NIST_N1	protein expression profiling by antibody array	1	IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PAD000009/IL-10_and_VEGF-D_in_NIST_SRM_1950_Extended_NPX_2025-05-30_fixed.npx.csv	Olink Reveal	Olink Reveal	NPX	Samplemanifest_Plate2_onlyNIST	Plate control	Olink Reveal	Olink Reveal	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
