path	platform_family	rows	old_template_column_count	new_template_column_count	template_1	template_2	template_3
datasets/PAD000001/PAD000001.sdrf.tsv	olink	20	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000002/PAD000002.sdrf.tsv	olink	136	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000003/PAD000003.sdrf.tsv	somascan	241	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000004/PAD000004.sdrf.tsv	olink	192	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000005/PAD000005.sdrf.tsv	olink	92	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000006/PAD000006.sdrf.tsv	olink	92	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000008/PAD000008.sdrf.tsv	olink	616	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000009/PAD000009.sdrf.tsv	olink	110	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000010/PAD000010.sdrf.tsv	somascan	52	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000013/PAD000013.sdrf.tsv	somascan	62	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000014/PAD000014.sdrf.tsv	somascan	236	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000016/PAD000016.sdrf.tsv	olink	246	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000019/PAD000019.sdrf.tsv	olink	124	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000020/PAD000020.sdrf.tsv	somascan	120	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000021/PAD000021.sdrf.tsv	somascan	5734	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000022/PAD000022.sdrf.tsv	olink	94	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000026/PAD000026.sdrf.tsv	somascan	96	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000030/PAD000030.sdrf.tsv	olink	335	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000033/PAD000033.sdrf.tsv	olink	211	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000036/PAD000036.sdrf.tsv	somascan	847	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
datasets/PAD000037/PAD000037.sdrf.tsv	olink	12	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
datasets/PAD000041/PAD000041.sdrf.tsv	olink	434	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000001/PAD000001.sdrf.tsv	olink	20	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000002/PAD000002.sdrf.tsv	olink	136	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000003/PAD000003.sdrf.tsv	somascan	241	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000004/PAD000004.sdrf.tsv	olink	192	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000005/PAD000005.sdrf.tsv	olink	92	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000006/PAD000006.sdrf.tsv	olink	92	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000008/PAD000008.sdrf.tsv	olink	616	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000009/PAD000009.sdrf.tsv	olink	110	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000010/PAD000010.sdrf.tsv	somascan	52	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000013/PAD000013.sdrf.tsv	somascan	62	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000014/PAD000014.sdrf.tsv	somascan	236	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000016/PAD000016.sdrf.tsv	olink	246	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000019/PAD000019.sdrf.tsv	olink	124	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000020/PAD000020.sdrf.tsv	somascan	120	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000021/PAD000021.sdrf.tsv	somascan	5734	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000022/PAD000022.sdrf.tsv	olink	94	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000026/PAD000026.sdrf.tsv	somascan	96	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000030/PAD000030.sdrf.tsv	olink	335	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000033/PAD000033.sdrf.tsv	olink	211	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000036/PAD000036.sdrf.tsv	somascan	847	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=somascan;VV=v1.0.0
sandbox/PAD000037/PAD000037.sdrf.tsv	olink	12	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
sandbox/PAD000041/PAD000041.sdrf.tsv	olink	434	0	3	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0
