source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000020-f01-r00028-A4098189	Homo sapiens	Blood plasma	not available	not available	not available	28	experimental sample	blood plasma	PAD000020-f01-r00028-A4098189	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00029-A4098493	Homo sapiens	Blood plasma	not available	not available	not available	29	experimental sample	blood plasma	PAD000020-f01-r00029-A4098493	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00030-A3975768	Homo sapiens	Blood plasma	not available	not available	not available	30	experimental sample	blood plasma	PAD000020-f01-r00030-A3975768	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00031-SID5	Homo sapiens	Blood plasma	not available	not available	not available	31	experimental sample	blood plasma	PAD000020-f01-r00031-SID5	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00032-A4098388	Homo sapiens	Blood plasma	not available	not available	not available	32	experimental sample	blood plasma	PAD000020-f01-r00032-A4098388	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00033-A3975824	Homo sapiens	Blood plasma	not available	not available	not available	33	experimental sample	blood plasma	PAD000020-f01-r00033-A3975824	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00034-230420	Homo sapiens	Blood plasma	not available	not available	not available	34	calibrator sample	blood plasma	PAD000020-f01-r00034-230420	protein expression profiling by aptamer array	2	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00035-A3975800	Homo sapiens	Blood plasma	not available	not available	not available	35	experimental sample	blood plasma	PAD000020-f01-r00035-A3975800	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00036-A4028811	Homo sapiens	Blood plasma	not available	not available	not available	36	experimental sample	blood plasma	PAD000020-f01-r00036-A4028811	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00037-A3975784	Homo sapiens	Blood plasma	not available	not available	not available	37	experimental sample	blood plasma	PAD000020-f01-r00037-A3975784	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00038-A4098516	Homo sapiens	Blood plasma	not available	not available	not available	38	experimental sample	blood plasma	PAD000020-f01-r00038-A4098516	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00039-A3975776	Homo sapiens	Blood plasma	not available	not available	not available	39	experimental sample	blood plasma	PAD000020-f01-r00039-A3975776	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00040-230420	Homo sapiens	Blood plasma	not available	not available	not available	40	calibrator sample	blood plasma	PAD000020-f01-r00040-230420	protein expression profiling by aptamer array	3	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00041-A4098404	Homo sapiens	Blood plasma	not available	not available	not available	41	experimental sample	blood plasma	PAD000020-f01-r00041-A4098404	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00042-230420	Homo sapiens	Blood plasma	not available	not available	not available	42	calibrator sample	blood plasma	PAD000020-f01-r00042-230420	protein expression profiling by aptamer array	4	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00043-SID8	Homo sapiens	Blood plasma	not available	not available	not available	43	experimental sample	blood plasma	PAD000020-f01-r00043-SID8	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00044-A3975792	Homo sapiens	Blood plasma	not available	not available	not available	44	experimental sample	blood plasma	PAD000020-f01-r00044-A3975792	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00045-0357841003	Homo sapiens	Blood plasma	not available	not available	not available	45	experimental sample	blood plasma	PAD000020-f01-r00045-0357841003	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00046-A4098212	Homo sapiens	Blood plasma	not available	not available	not available	46	experimental sample	blood plasma	PAD000020-f01-r00046-A4098212	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00047-A4098525	Homo sapiens	Blood plasma	not available	not available	not available	47	experimental sample	blood plasma	PAD000020-f01-r00047-A4098525	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00048-A4098228	Homo sapiens	Blood plasma	not available	not available	not available	48	experimental sample	blood plasma	PAD000020-f01-r00048-A4098228	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00049-230421	Homo sapiens	Blood plasma	not available	not available	not available	49	quality control sample	blood plasma	PAD000020-f01-r00049-230421	protein expression profiling by aptamer array	2	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00050-A3975808	Homo sapiens	Blood plasma	not available	not available	not available	50	experimental sample	blood plasma	PAD000020-f01-r00050-A3975808	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00051-A4098541	Homo sapiens	Blood plasma	not available	not available	not available	51	experimental sample	blood plasma	PAD000020-f01-r00051-A4098541	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00052-A4028836	Homo sapiens	Blood plasma	not available	not available	not available	52	experimental sample	blood plasma	PAD000020-f01-r00052-A4028836	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00053-0357893318	Homo sapiens	Blood plasma	not available	not available	not available	53	experimental sample	blood plasma	PAD000020-f01-r00053-0357893318	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00054-A4033065	Homo sapiens	Blood plasma	not available	not available	not available	54	experimental sample	blood plasma	PAD000020-f01-r00054-A4033065	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00055-A4030347	Homo sapiens	Blood plasma	not available	not available	not available	55	experimental sample	blood plasma	PAD000020-f01-r00055-A4030347	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00056-A4098461	Homo sapiens	Blood plasma	not available	not available	not available	56	experimental sample	blood plasma	PAD000020-f01-r00056-A4098461	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00057-230421	Homo sapiens	Blood plasma	not available	not available	not available	57	quality control sample	blood plasma	PAD000020-f01-r00057-230421	protein expression profiling by aptamer array	3	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00058-A4030404	Homo sapiens	Blood plasma	not available	not available	not available	58	experimental sample	blood plasma	PAD000020-f01-r00058-A4030404	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00059-A4028875	Homo sapiens	Blood plasma	not available	not available	not available	59	experimental sample	blood plasma	PAD000020-f01-r00059-A4028875	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00060-A3975760	Homo sapiens	Blood plasma	not available	not available	not available	60	experimental sample	blood plasma	PAD000020-f01-r00060-A3975760	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00061-SID6	Homo sapiens	Blood plasma	not available	not available	not available	61	experimental sample	blood plasma	PAD000020-f01-r00061-SID6	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00062-A4033033	Homo sapiens	Blood plasma	not available	not available	not available	62	experimental sample	blood plasma	PAD000020-f01-r00062-A4033033	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00063-A4098180	Homo sapiens	Blood plasma	not available	not available	not available	63	experimental sample	blood plasma	PAD000020-f01-r00063-A4098180	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00064-0357896522	Homo sapiens	Blood plasma	not available	not available	not available	64	experimental sample	blood plasma	PAD000020-f01-r00064-0357896522	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00065-A4090286	Homo sapiens	Blood plasma	not available	not available	not available	65	experimental sample	blood plasma	PAD000020-f01-r00065-A4090286	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
